                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.2677,                0.77709,                0.99159,                0.63295,                0.39244,                0.41929,                 0.2264,                 1.3504,                0.83012,                 1.0082,               0.006931,               0.006931,               0.006931
                     64,                 1.2658,                0.77898,                0.99234,                0.63409,                0.38775,                0.42375,                0.22659,                 1.3459,                0.82985,                 1.0075,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.2702,                0.78024,                0.99118,                0.62295,                0.41487,                0.43669,                0.22712,                 1.3455,                0.82618,                 1.0047,               0.006832,               0.006832,               0.006832
                     66,                 1.2663,                0.78184,                0.98916,                0.64225,                 0.4017,                0.42626,                0.22719,                 1.3431,                0.82712,                 1.0051,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.2674,                0.77771,                0.98988,                0.65742,                0.39177,                0.42717,                0.23364,                  1.347,                0.82764,                 1.0047,               0.006733,               0.006733,               0.006733
                     68,                 1.2628,                0.77104,                0.98987,                 0.6342,                0.39721,                 0.4247,                0.23107,                 1.3387,                   0.82,                 1.0034,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.2587,                0.76397,                0.98718,                0.67812,                0.37306,                0.42255,                0.22681,                 1.3475,                0.82257,                 1.0062,               0.006634,               0.006634,               0.006634
                     70,                 1.2608,                0.76668,                 0.9874,                0.63633,                0.38851,                0.42268,                0.22775,                 1.3371,                0.82625,                 1.0079,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.2607,                0.76753,                0.98565,                0.63234,                0.39274,                0.42506,                0.23023,                 1.3426,                0.82313,                  1.005,               0.006535,               0.006535,               0.006535
                     72,                 1.2601,                0.76873,                0.98948,                0.66903,                 0.3818,                0.42847,                0.23401,                 1.3479,                0.81734,                 1.0026,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.2415,                0.75521,                0.98283,                0.64594,                0.38003,                0.41434,                0.22443,                 1.3469,                0.82259,                 1.0091,               0.006436,               0.006436,               0.006436
                     74,                 1.2511,                0.75528,                0.98282,                0.63097,                0.38401,                 0.4226,                0.22742,                 1.3437,                0.82096,                 1.0041,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.2476,                0.75718,                0.98205,                0.63787,                0.40529,                0.42838,                0.23095,                 1.3496,                0.81833,                  1.006,               0.006337,               0.006337,               0.006337
                     76,                 1.2538,                0.75993,                0.98532,                0.64388,                0.40108,                0.42757,                0.23271,                 1.3298,                0.80964,                 1.0006,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.2455,                0.75501,                0.98217,                0.64709,                0.40561,                0.43936,                0.23371,                 1.3429,                0.81638,                 1.0055,               0.006238,               0.006238,               0.006238
